Season,Games played,Champion,Average Points scored,Average Points allowed,Offensive Rating,Defensive Rating,Team TS%,eFG%,TOV%,ORB%,FT/FGA,Opp eFG%,Opp TOV%,Opp FT/FGA,Net Rating,Average Points Difference,eFG% Difference,TOV% Difference,ORB% Difference,FT/FGA Difference,Opp ORB%
1992,7,False,-0.068,-0.047,2.381,2.935,2.567,2.314,-2.329,-3.102,1.206,2.34,-3.636,-2.344,0.025,-0.034,0.538,1.053,-1.732,-0.286,-0.688
1992,5,False,3.58,3.858,2.482,3.188,1.752,1.453,-1.552,-0.003,3.543,1.35,-1.527,4.143,-0.055,0.021,0.403,-0.022,1.262,-0.318,-2.129
1992,5,False,-1.024,-1.504,2.347,1.88,1.635,0.477,-1.109,-0.313,3.836,1.268,-0.083,0.9,0.666,0.514,-0.318,-0.829,-0.296,-0.292,0.135
1993,4,True,-2.687,-3.529,2.9,-0.112,0.512,1.136,-4.286,1.065,-1.511,0.777,0.327,-0.542,2.33,1.935,0.231,-2.442,2.118,-0.214,-2.123
1993,5,False,-0.766,-0.981,-2.083,-2.404,-1.288,-1.207,3.551,1.303,-1.333,-2.232,0.936,0.082,0.461,0.518,0.864,1.039,0.394,-0.218,1.205
1993,6,False,-1.238,-0.201,0.084,1.248,0.447,-0.213,-3.167,-3.889,2.629,0.777,-1.851,-0.509,-1.008,-1.002,-0.771,-0.098,-3.387,-0.191,0.23
1993,7,False,-2.485,-1.371,0.561,1.287,-2.152,-1.633,-2.747,2.056,-2.134,2.383,1.72,-0.279,-0.674,-0.726,-3.092,-2.797,1.621,-0.22,0.172
1994,6,False,-3.819,-3.456,-1.884,-2.383,-1.229,-0.788,2.952,1.809,-0.336,-2.836,-0.682,-0.764,0.808,0.529,1.357,2.241,1.367,-0.337,-0.09
1994,7,False,-4.185,-2.154,-2.112,0.437,-0.626,-0.921,1.769,-0.641,1.548,-0.204,-0.211,0.729,-2.708,-2.722,-0.643,1.178,-0.151,-0.34,-0.475
1994,7,True,0.485,0.169,0.624,0.151,1.951,2.413,-1.781,-5.99,-3.093,-0.763,-2.231,-0.204,0.475,0.477,2.613,0.842,-2.972,-0.365,-2.073
1994,7,False,-1.743,-1.107,-0.561,0.028,-2.671,-3.254,-3.753,-1.291,1.824,-2.198,0.126,3.962,-0.618,-0.709,-1.214,-2.234,-1.2,-0.375,0.406
