Season,Games played,Champion,Average Points scored,Average Points allowed,Offensive Rating,Defensive Rating,Team TS%,eFG%,TOV%,ORB%,FT/FGA,Opp eFG%,Opp TOV%,Opp FT/FGA,Net Rating,Average Points Difference,eFG% Difference,TOV% Difference,ORB% Difference,FT/FGA Difference,Opp ORB%
2019,7,True,-3.346,-3.969,-2.327,-2.328,-1.679,-2.654,-2.044,-2.247,1.424,-3.363,2.792,3.194,-0.245,-0.319,-0.66,-3.24,-2.239,-0.259,0.803
2019,6,False,-0.325,0.198,1.14,2.111,0.395,0.282,0.268,0.97,0.495,4.168,2.25,1.852,-0.65,-0.635,-1.398,-1.742,-0.974,-0.26,2.612
2019,7,False,-0.445,1.46,0.194,2.978,-2.466,-2.869,-4.687,1.437,0.576,-5.281,-3.086,3.96,-2.186,-2.098,-0.079,0.431,-2.397,-0.273,5.325
2020,7,False,-2.524,-3.641,-3.309,-3.145,-0.661,-1.101,2.458,-2.734,0.826,-2.691,-0.043,-1.241,0.672,0.625,1.075,1.546,0.631,-0.453,-3.655
2020,5,False,-0.08,-1.343,1.342,-0.321,2.951,1.302,1.936,-1.616,4.517,-1.318,-0.561,2.159,1.209,1.111,1.589,1.706,-1.412,-0.445,0.421
2020,7,False,-2.963,-2.401,-1.231,0.113,0.078,0.056,1.805,-0.261,-0.11,-0.51,0.302,1.547,-0.94,-0.933,0.356,0.825,-0.636,-0.478,0.657
2020,5,True,-0.644,-2.145,1.49,-0.394,3.742,4.417,4.549,1.859,-0.496,1.348,1.079,3.656,1.377,1.241,1.691,1.786,4.838,-0.495,-5.131
2021,7,True,-3.395,-1.644,-3.537,-1.677,-4.249,-3.266,-0.573,-0.171,-3.01,-0.227,-1.024,-3.099,-2.292,-2.208,-2.58,0.62,3.081,-0.174,-8.257
2021,7,False,-1.698,0.049,-1.894,0.28,-2.288,-2.743,-1.513,-1.89,1.806,1.634,0.179,2.608,-2.257,-2.208,-3.288,-1.484,-0.899,-0.179,-1.579
2021,4,False,2.15,-1.333,3.0,-1.473,3.536,2.751,-2.101,-3.354,1.982,-2.0,-1.949,-5.062,4.473,4.407,3.519,0.319,-3.501,-0.119,2.087
2021,6,False,1.726,0.275,4.509,3.175,3.89,3.274,-2.454,0.02,2.746,3.672,0.364,1.074,2.016,1.833,0.47,-2.486,-0.644,-0.16,1.694
2022,7,False,-2.648,-3.708,-3.986,-4.116,-0.872,-0.946,-0.288,-2.721,-0.194,-5.211,-1.218,-1.163,1.815,1.781,2.59,0.764,-3.021,-0.188,0.79
2022,6,False,-2.807,-3.774,-1.035,-2.543,-0.828,-1.402,0.44,0.611,1.637,-0.985,2.095,1.578,1.854,1.703,-0.263,-1.349,2.374,-0.195,-4.021
2022,7,False,-1.851,-1.486,1.385,0.768,1.282,1.336,-0.894,-2.098,1.003,1.09,1.803,-0.717,-0.01,-0.064,0.158,-1.953,-3.921,-0.183,4.215
2022,6,True,-0.496,0.47,-3.834,-0.929,-1.031,-0.49,4.078,1.124,-3.151,-2.368,-2.192,-1.291,-1.097,-1.045,1.14,4.236,0.504,-0.205,1.361
2023,6,False,-4.103,-4.144,-1.906,-2.986,-3.671,-4.341,-3.604,-0.255,1.127,-3.141,0.868,3.301,0.876,0.696,-1.292,-2.778,-1.502,-0.155,2.959
2023,7,False,-1.811,-3.693,1.264,-2.869,0.386,0.027,-2.153,-1.107,0.189,-3.48,-0.89,1.488,3.464,3.169,2.271,-0.462,0.718,-0.15,-3.653
2023,6,True,0.517,-1.824,3.051,-1.288,0.455,0.027,-3.208,1.18,0.606,-0.429,-1.066,-1.963,3.659,3.516,0.298,-0.91,2.437,-0.125,-3.408
2023,6,False,-1.095,-1.148,-1.214,-1.464,-0.808,-1.334,-3.208,-2.094,1.961,-1.361,-0.011,-5.765,0.192,0.25,-0.14,-1.807,-2.898,-0.091,2.796
2024,7,False,-0.16,-0.158,2.733,3.021,2.354,3.157,-0.851,0.989,-3.527,-0.562,-1.684,1.697,0.095,0.005,2.733,0.787,-1.698,-0.462,4.964
2024,5,True,-2.014,-2.796,1.131,-0.52,0.937,0.88,-0.729,0.855,-1.161,-0.467,-3.798,-4.098,1.462,1.21,0.938,2.636,3.473,-0.405,-5.33
2024,6,False,-2.659,-1.542,-2.112,-0.566,-2.874,-1.681,1.458,1.975,-1.516,-2.763,-2.953,-0.314,-1.494,-1.502,0.286,3.516,2.315,-0.435,-1.197
2024,7,False,-3.545,-3.736,-1.512,-2.498,-1.704,-1.396,-0.486,-0.445,0.081,-1.998,0.218,-0.697,0.612,0.419,0.068,-0.534,0.733,-0.423,-2.174
2025,5,False,0.456,0.879,0.006,0.477,2.023,1.863,1.263,-2.488,2.472,-4.893,-1.171,5.729,-0.286,-0.284,3.748,1.715,-3.744,-0.336,4.527
2025,6,False,-2.301,-1.796,-1.225,0.058,-2.52,-2.525,-0.628,1.49,1.688,-2.182,-0.714,-0.526,-1.111,-1.117,-1.165,0.182,0.407,-0.278,3.26
2025,7,True,-0.054,-1.469,-0.675,-3.108,-1.808,-1.955,-2.992,-0.122,1.427,-5.869,1.936,3.311,1.307,1.354,0.954,-3.393,-1.247,-0.318,3.682
2025,5,False,-1.536,-2.807,-0.901,-2.736,0.807,0.837,5.401,0.324,-0.229,-4.459,2.21,2.155,0.88,0.808,2.688,1.569,-2.122,-0.316,7.905
2026,4,True,3.04,-3.374,6.2,-2.026,5.487,6.0,0.214,1.488,0.997,-1.978,0.483,2.619,5.674,5.341,6.006,-0.317,2.561,-0.105,-2.726
2026,7,False,-3.368,-1.676,-0.932,0.266,-0.08,-1.009,2.494,0.679,3.804,-0.989,0.725,-0.211,-0.825,-0.818,-0.183,0.989,-1.3,-0.062,4.717
2026,6,False,1.542,-2.588,0.52,-4.318,1.381,0.973,0.1,-0.069,1.72,-6.473,-0.886,-0.864,3.39,3.535,4.824,0.913,0.371,-0.076,-1.056
2026,4,False,1.168,-2.808,3.766,-1.568,4.069,4.442,-0.242,-0.309,-1.427,0.449,3.462,0.66,3.683,3.476,3.249,-3.468,-0.695,-0.112,0.961
