Season,Team,Opponent,Team PTS,Team FGA,Team FTA,Team TS%,Opp PTS,Opp FGA,Opp FTA,Opp TS%
2001,LAL,SAC,426.0,319.0,156.0,54.9479,389.0,347.0,109.0,49.2455
2001,SAS,DAL,511.0,386.0,145.0,56.803,453.0,438.0,113.0,46.4406
2002,BOS,DET,415.0,377.0,94.0,49.5984,397.0,380.0,94.0,47.1094
2002,NJN,CHH,490.0,408.0,155.0,51.449,470.0,400.0,157.0,50.0981
2002,LAL,SAS,450.0,398.0,109.0,50.453,429.0,382.0,132.0,48.7411
2002,SAC,DAL,564.0,440.0,155.0,55.49,534.0,448.0,121.0,53.2679
2003,DET,PHI,538.0,439.0,171.0,52.3102,538.0,457.0,144.0,51.695
2003,NJN,BOS,405.0,322.0,123.0,53.8392,365.0,320.0,93.0,50.5652
2003,DAL,SAC,802.0,661.0,145.0,55.3256,777.0,629.0,209.0,53.8865
2003,SAS,LAL,597.0,473.0,161.0,54.8875,562.0,469.0,151.0,52.4802
2004,DET,NJN,607.0,551.0,190.0,47.8254,583.0,513.0,204.0,48.3609
2004,IND,MIA,527.0,417.0,185.0,52.8692,508.0,445.0,155.0,49.4934
2004,LAL,SAS,528.0,417.0,177.0,53.3463,503.0,474.0,138.0,47.034
2004,MIN,SAC,643.0,554.0,161.0,51.4532,651.0,574.0,177.0,49.9325
2005,DET,IND,516.0,454.0,145.0,49.8262,474.0,453.0,119.0,46.8973
2005,MIA,WAS,414.0,302.0,113.0,58.8536,378.0,331.0,122.0,49.1317
2005,PHO,DAL,705.0,541.0,165.0,57.4478,665.0,559.0,159.0,52.865
2005,SAS,SEA,592.0,436.0,202.0,56.3938,551.0,458.0,154.0,52.4003
2006,DET,CLE,606.0,506.0,187.0,51.5061,566.0,510.0,150.0,49.1319
2006,MIA,NJN,510.0,355.0,174.0,59.088,478.0,383.0,135.0,54.0235
2006,DAL,SAS,727.0,552.0,223.0,55.9128,699.0,514.0,235.0,56.6084
2006,PHO,LAC,786.0,613.0,159.0,57.5436,793.0,599.0,184.0,58.3123
2007,CLE,NJN,515.0,455.0,154.0,49.2578,505.0,428.0,145.0,51.342
2007,DET,CHI,558.0,478.0,141.0,51.6628,525.0,441.0,195.0,49.8292
2007,SAS,PHO,600.0,481.0,157.0,54.5375,603.0,477.0,143.0,55.8416
2007,UTA,GSW,563.0,408.0,174.0,58.0939,542.0,419.0,160.0,55.3739
2008,BOS,CLE,588.0,496.0,176.0,51.2695,596.0,499.0,205.0,50.5771
2008,DET,ORL,458.0,399.0,121.0,50.6368,451.0,362.0,111.0,54.8875
2008,LAL,UTA,662.0,448.0,231.0,60.2212,644.0,528.0,172.0,53.3395
2008,SAS,NOH,645.0,535.0,138.0,54.1362,645.0,564.0,135.0,51.7324
2009,CLE,ATL,385.0,289.0,109.0,57.1284,313.0,296.0,83.0,47.0648
2009,ORL,BOS,672.0,534.0,185.0,54.5986,642.0,538.0,163.0,52.6471
2009,LAL,HOU,685.0,573.0,170.0,52.8713,634.0,547.0,155.0,51.528
2009,DEN,DAL,573.0,393.0,182.0,60.5606,534.0,388.0,164.0,58.0233
2010,BOS,CLE,603.0,474.0,175.0,54.7187,571.0,430.0,210.0,54.6516
2010,ORL,ATL,429.0,288.0,116.0,63.2669,328.0,313.0,97.0,46.1089
2010,LAL,UTA,437.0,326.0,118.0,57.8165,408.0,339.0,107.0,52.8388
2010,PHO,SAS,438.0,324.0,111.0,58.7383,401.0,317.0,117.0,54.4127
2011,CHI,ATL,556.0,473.0,117.0,53.0049,514.0,451.0,131.0,50.5269
2011,MIA,BOS,477.0,364.0,153.0,55.2954,455.0,365.0,106.0,55.2667
2011,DAL,LAL,409.0,300.0,80.0,61.0084,353.0,331.0,80.0,48.1977
2011,OKC,MEM,725.0,567.0,206.0,55.1213,697.0,618.0,210.0,49.0569
2012,MIA,IND,566.0,463.0,162.0,52.9685,527.0,465.0,149.0,49.6645
2012,BOS,PHI,624.0,529.0,153.0,52.3209,598.0,548.0,163.0,48.2476
2012,SAS,LAC,411.0,307.0,90.0,59.2902,365.0,312.0,73.0,53.0338
2012,OKC,LAL,501.0,402.0,123.0,54.9198,454.0,390.0,126.0,50.9608
2013,MIA,CHI,487.0,356.0,138.0,58.4325,421.0,373.0,131.0,48.8807
2013,IND,NYK,537.0,434.0,176.0,52.4988,537.0,491.0,107.0,49.8996
2013,MEM,OKC,468.0,412.0,142.0,49.3171,448.0,402.0,114.0,49.54
2013,SAS,GSW,612.0,516.0,150.0,52.5773,589.0,525.0,131.0,50.5458
2014,IND,WAS,534.0,449.0,145.0,52.0671,521.0,477.0,122.0,49.088
2014,MIA,BRK,489.0,350.0,117.0,60.8997,462.0,376.0,91.0,55.5235
2014,SAS,POR,544.0,443.0,99.0,55.9027,477.0,438.0,102.0,49.3912
2014,OKC,LAC,643.0,475.0,176.0,58.1964,638.0,534.0,147.0,53.2839
2015,CLE,CHI,580.0,479.0,136.0,53.8193,547.0,504.0,120.0,49.12
2015,ATL,WAS,587.0,518.0,117.0,51.5382,570.0,517.0,123.0,49.9019
2015,HOU,LAC,766.0,585.0,275.0,54.2493,788.0,606.0,228.0,55.7821
2015,GSW,MEM,587.0,467.0,111.0,56.8975,539.0,500.0,123.0,48.6357
2016,CLE,ATL,448.0,343.0,84.0,58.9536,398.0,325.0,77.0,55.4503
2016,TOR,MIA,680.0,584.0,182.0,51.1987,662.0,558.0,154.0,52.8957
2016,GSW,POR,593.0,449.0,123.0,58.9323,571.0,462.0,143.0,54.3892
2016,OKC,SAS,605.0,488.0,148.0,54.6898,608.0,520.0,114.0,53.3184
2017,CLE,TOR,465.0,318.0,107.0,63.6847,404.0,351.0,71.0,52.8464
2017,BOS,WAS,772.0,579.0,170.0,59.0395,765.0,619.0,175.0,54.9569
2017,GSW,UTA,444.0,335.0,91.0,59.1937,384.0,332.0,94.0,51.4249
2017,SAS,HOU,651.0,547.0,128.0,53.9515,621.0,516.0,116.0,54.758
2018,BOS,PHI,532.0,418.0,124.0,56.2891,517.0,448.0,124.0,51.4366
2018,CLE,TOR,474.0,349.0,89.0,61.0573,418.0,326.0,90.0,57.1663
2018,GSW,NOP,575.0,468.0,115.0,55.4377,532.0,473.0,78.0,52.4324
2018,HOU,UTA,543.0,434.0,105.0,56.5389,493.0,407.0,103.0,54.4968
2019,MIL,BOS,565.0,454.0,138.0,54.8842,522.0,437.0,131.0,52.7656
2019,TOR,PHI,711.0,580.0,169.0,54.3279,692.0,564.0,171.0,54.1268
2019,GSW,HOU,670.0,521.0,144.0,57.3277,659.0,501.0,145.0,58.3392
2019,POR,DEN,779.0,650.0,187.0,53.19,792.0,654.0,207.0,53.1487
2020,BOS,TOR,735.0,580.0,162.0,56.4273,698.0,609.0,140.0,52.0429
2020,MIA,MIL,564.0,406.0,137.0,60.4787,530.0,431.0,134.0,54.086
2020,DEN,LAC,725.0,568.0,148.0,57.2561,722.0,582.0,162.0,55.2596
