Season,Team,Opponent,Games played,Average Points scored,Average Points allowed,Offensive Rating,Defensive Rating,eFG%,Opp eFG%,TOV%,Opp TOV%,ORB%,Opp ORB%,FT/FGA,Opp FT/FGA,Champion,Actual Wins (%),Team TS%,Opp TS%
1994,IND,ATL,6,90.3,85.2,104.1,98.1,48.0,43.9,17.1,13.5,37.1,31.0,23.3,20.6,False,66.667,52.1154,47.9722
1994,NYK,CHI,7,89.1,90.3,103.6,105.0,47.8,47.2,15.9,14.2,32.2,30.3,27.4,25.4,False,57.143,52.7883,52.2694
1994,HOU,PHO,7,104.4,99.4,109.6,104.3,52.8,46.5,12.3,11.2,21.5,27.4,17.3,22.4,True,57.143,55.6655,50.8802
1994,UTA,DEN,7,97.1,94.4,107.0,104.0,44.3,44.7,10.3,14.7,30.9,31.9,28.0,35.8,False,57.143,50.5051,51.6245
1995,IND,NYK,7,93.3,94.7,106.0,107.6,47.0,51.4,17.2,14.7,33.1,27.2,36.3,29.0,False,57.143,54.2575,55.4311
1995,ORL,CHI,6,100.7,99.8,112.8,111.8,50.7,48.6,14.4,11.8,34.9,32.5,32.9,24.8,False,66.667,55.6785,53.2236
1995,HOU,PHO,7,109.1,108.7,115.2,114.8,53.1,50.5,10.8,11.8,22.9,31.1,24.9,28.6,True,57.143,57.2302,55.8245
1995,SAS,LAL,6,94.7,88.8,103.2,96.8,44.9,43.2,15.4,12.8,34.0,28.3,26.4,22.0,False,66.667,50.5302,47.6097
1996,CHI,NYK,5,93.8,87.6,104.4,97.5,44.1,47.2,12.9,19.1,37.0,23.9,22.4,29.7,True,80.0,49.41,52.5987
1996,ORL,ATL,5,107.0,97.4,122.8,111.8,55.6,51.2,11.2,12.3,39.9,27.2,19.9,27.1,False,80.0,57.0703,55.8691
1996,SEA,HOU,4,110.5,98.8,115.2,102.9,57.7,47.6,14.8,14.4,25.5,24.7,22.8,22.7,False,100.0,60.7143,52.0504
1996,UTA,SAS,6,95.5,83.8,113.2,99.4,52.7,46.0,14.1,16.0,32.6,28.3,18.1,31.4,False,66.667,55.9614,51.3895
1997,CHI,ATL,5,98.2,90.4,113.7,104.7,49.5,47.5,11.5,16.0,39.4,29.4,16.2,29.8,True,80.0,52.1364,53.1315
1997,MIA,NYK,7,86.9,85.6,98.4,96.9,46.6,45.0,16.3,16.1,24.3,25.6,28.7,26.5,False,57.143,51.3271,50.8662
1997,HOU,SEA,7,100.9,99.6,112.4,110.9,50.0,47.7,15.4,12.6,36.0,32.3,26.1,29.1,False,57.143,54.7355,53.7809
1997,UTA,LAL,5,97.6,94.0,110.1,106.1,45.8,46.9,13.2,13.5,31.2,27.5,39.9,32.9,False,80.0,53.8822,53.1867
1998,CHI,CHH,5,89.8,80.2,107.4,95.9,46.9,45.4,11.9,15.2,32.3,25.4,23.2,16.9,True,80.0,51.6045,49.1325
1998,IND,NYK,5,94.2,87.6,105.4,98.0,47.9,47.9,14.3,17.2,24.9,25.5,34.6,19.5,False,80.0,54.6454,51.5974
1998,LAL,SEA,5,105.0,94.4,123.9,111.4,57.2,48.3,13.8,11.4,40.5,33.8,26.3,21.5,False,80.0,59.9753,52.2216
1998,UTA,SAS,5,85.0,84.8,101.0,100.8,44.7,45.4,10.9,14.8,24.2,29.7,22.4,29.9,False,80.0,49.2491,51.109
1999,IND,PHI,4,91.3,86.0,107.6,101.4,48.0,42.2,14.7,9.9,33.8,33.5,27.4,18.2,False,100.0,53.1265,46.0238
1999,NYK,ATL,4,86.5,76.5,99.7,88.2,47.3,33.9,15.3,13.2,26.5,30.1,24.4,27.8,False,100.0,51.9832,41.4814
1999,POR,UTA,6,84.7,84.0,99.7,98.9,42.4,44.2,12.1,14.9,24.2,24.7,37.6,32.4,False,66.667,50.1026,50.5172
1999,SAS,LAL,4,96.8,88.8,105.9,97.2,50.2,43.7,16.6,14.0,25.2,29.1,37.4,25.4,True,100.0,56.5525,48.0301
2000,IND,PHI,6,98.3,94.3,110.1,105.6,50.8,44.3,11.8,11.8,23.8,32.0,23.0,29.4,False,66.667,55.5472,50.0566
2000,NYK,MIA,7,81.1,80.3,97.1,96.1,43.0,42.6,11.7,12.9,20.7,26.8,26.5,22.4,False,57.143,48.9824,47.1192
2000,LAL,PHO,5,98.4,90.8,109.1,100.7,47.1,44.7,11.7,14.1,35.0,31.4,31.4,22.7,True,80.0,51.8681,49.0662
2000,POR,UTA,5,93.2,82.2,108.0,95.2,48.5,43.9,13.9,14.3,27.0,24.6,32.5,25.7,False,80.0,54.3022,48.9193
2001,MIL,CHH,7,94.1,93.6,106.7,106.0,47.9,44.9,13.0,10.8,29.2,30.4,22.0,27.6,False,57.143,52.4147,50.2856
2001,PHI,TOR,7,92.9,92.1,107.7,106.8,46.5,49.4,13.0,13.2,32.5,29.0,26.2,17.5,False,57.143,51.9933,52.907
2001,LAL,SAC,4,106.5,97.3,110.4,100.8,49.8,42.9,13.8,13.8,32.8,29.8,33.9,26.2,True,100.0,54.9479,49.2455
2001,SAS,DAL,5,102.2,90.6,112.7,99.9,53.5,41.0,14.1,9.5,30.2,28.5,25.4,21.5,False,80.0,56.803,46.4406
2002,BOS,DET,5,83.0,79.4,95.3,91.2,44.7,44.1,15.4,14.4,24.2,20.3,20.7,16.3,False,80.0,49.5984,47.1094
2002,NJN,CHH,5,98.0,94.0,106.1,101.8,45.6,45.1,13.1,13.9,31.3,32.4,28.9,27.3,False,80.0,51.449,50.0981
2002,LAL,SAS,5,90.0,85.8,103.7,98.8,47.2,42.7,12.0,12.3,28.6,25.9,18.6,27.0,True,80.0,50.453,48.7411
2002,SAC,DAL,5,112.8,106.8,114.9,108.8,50.2,48.7,12.3,11.9,33.8,27.0,27.7,21.9,False,80.0,55.49,53.2679
2003,DET,PHI,6,89.7,89.7,103.4,103.4,46.6,46.5,13.3,15.0,24.3,31.0,29.4,24.7,False,66.667,52.3102,51.695
2003,NJN,BOS,4,101.3,91.3,103.9,93.6,48.8,45.5,14.9,16.8,23.2,20.8,28.3,23.1,False,100.0,53.8392,50.5652
2003,DAL,SAC,7,114.6,111.0,113.0,109.5,52.4,48.7,10.9,11.4,25.8,26.2,16.5,26.1,False,57.143,55.3256,53.8865
2003,SAS,LAL,6,99.5,93.7,109.7,103.2,50.8,48.2,11.4,14.8,25.0,26.5,24.5,23.5,True,66.667,54.8875,52.4802
2004,DET,NJN,7,86.7,83.3,95.6,91.8,42.4,42.5,14.9,17.5,28.9,26.8,25.4,28.7,True,57.143,47.8254,48.3609
2004,IND,MIA,6,87.8,84.7,102.8,99.1,47.5,43.6,14.7,13.2,25.6,25.5,31.4,27.0,False,66.667,52.8692,49.4934
2004,LAL,SAS,6,88.0,83.8,100.0,95.2,50.4,43.9,15.7,14.4,22.2,29.3,25.9,18.4,False,66.667,53.3463,47.034
2004,MIN,SAC,7,91.9,93.0,98.9,100.2,46.8,44.5,15.1,12.1,25.1,22.1,22.4,24.4,False,57.143,51.4532,49.9325
2005,DET,IND,6,86.0,79.0,101.8,93.5,44.8,42.3,13.4,14.5,30.7,26.5,24.0,20.1,False,66.667,49.8262,46.8973
2005,MIA,WAS,4,103.5,94.5,111.3,101.6,56.0,44.0,16.6,11.9,28.4,27.8,25.2,26.3,False,100.0,58.8536,49.1317
2005,PHO,DAL,6,117.5,110.8,118.4,111.7,53.6,48.6,11.8,11.0,32.0,31.8,23.1,21.8,False,66.667,57.4478,52.865
2005,SAS,SEA,6,98.7,91.8,113.2,105.3,50.7,47.3,14.5,13.6,31.1,31.2,34.4,25.8,True,66.667,56.3938,52.4003
2006,DET,CLE,7,86.6,80.9,105.5,98.5,47.1,44.2,13.1,14.2,29.0,29.8,25.5,22.5,False,57.143,51.5061,49.1319
2006,MIA,NJN,5,102.0,95.6,112.7,105.6,54.8,49.7,13.6,13.5,21.6,22.9,34.1,25.3,True,80.0,59.088,54.0235
2006,DAL,SAS,7,103.9,99.9,113.8,109.5,49.4,50.4,11.6,13.1,28.7,20.8,33.0,35.2,False,57.143,55.9128,56.6084
