Season,Team,Opponent,Games played,Average Points scored,Average Points allowed,Offensive Rating,Defensive Rating,eFG%,Opp eFG%,TOV%,Opp TOV%,ORB%,Opp ORB%,FT/FGA,Opp FT/FGA,Champion
1996,ORL,ATL,5,107.0,97.4,122.8,111.8,0.556,0.512,11.2,12.3,39.9,27.2,0.199,0.271,False
1996,SEA,HOU,4,110.5,98.8,115.2,102.9,0.577,0.476,14.8,14.4,25.5,24.7,0.228,0.227,False
1996,UTA,SAS,6,95.5,83.8,113.2,99.4,0.527,0.46,14.1,16.0,32.6,28.3,0.181,0.314,False
1997,CHI,ATL,5,98.2,90.4,113.7,104.7,0.495,0.475,11.5,16.0,39.4,29.4,0.162,0.298,True
1997,MIA,NYK,7,86.9,85.6,98.4,96.9,0.466,0.45,16.3,16.1,24.3,25.6,0.287,0.265,False
1997,HOU,SEA,7,100.9,99.6,112.4,110.9,0.5,0.477,15.4,12.6,36.0,32.3,0.261,0.291,False
1997,UTA,LAL,5,97.6,94.0,110.1,106.1,0.458,0.469,13.2,13.5,31.2,27.5,0.399,0.329,False
1998,CHI,CHH,5,89.8,80.2,107.4,95.9,0.469,0.454,11.9,15.2,32.3,25.4,0.232,0.169,True
1998,IND,NYK,5,94.2,87.6,105.4,98.0,0.479,0.479,14.3,17.2,24.9,25.5,0.346,0.195,False
1998,LAL,SEA,5,105.0,94.4,123.9,111.4,0.572,0.483,13.8,11.4,40.5,33.8,0.263,0.215,False
1998,UTA,SAS,5,85.0,84.8,101.0,100.8,0.447,0.454,10.9,14.8,24.2,29.7,0.224,0.299,False
1999,IND,PHI,4,91.3,86.0,107.6,101.4,0.48,0.422,14.7,9.9,33.8,33.5,0.274,0.182,False
1999,NYK,ATL,4,86.5,76.5,99.7,88.2,0.473,0.339,15.3,13.2,26.5,30.1,0.244,0.278,False
1999,POR,UTA,6,84.7,84.0,99.7,98.9,0.424,0.442,12.1,14.9,24.2,24.7,0.376,0.324,False
1999,SAS,LAL,4,96.8,88.8,105.9,97.2,0.502,0.437,16.6,14.0,25.2,29.1,0.374,0.254,True
2000,IND,PHI,6,98.3,94.3,110.1,105.6,0.508,0.443,11.8,11.8,23.8,32.0,0.23,0.294,False
2000,NYK,MIA,7,81.1,80.3,97.1,96.1,0.43,0.426,11.7,12.9,20.7,26.8,0.265,0.224,False
2000,LAL,PHO,5,98.4,90.8,109.1,100.7,0.471,0.447,11.7,14.1,35.0,31.4,0.314,0.227,True
2000,POR,UTA,5,93.2,82.2,108.0,95.2,0.485,0.439,13.9,14.3,27.0,24.6,0.325,0.257,False
2001,MIL,CHH,7,94.1,93.6,106.7,106.0,0.479,0.449,13.0,10.8,29.2,30.4,0.22,0.276,False
2001,PHI,TOR,7,92.9,92.1,107.7,106.8,0.465,0.494,13.0,13.2,32.5,29.0,0.262,0.175,False
2001,LAL,SAC,4,106.5,97.3,110.4,100.8,0.498,0.429,13.8,13.8,32.8,29.8,0.339,0.262,True
2001,SAS,DAL,5,102.2,90.6,112.7,99.9,0.535,0.41,14.1,9.5,30.2,28.5,0.254,0.215,False
2002,BOS,DET,5,83.0,79.4,95.3,91.2,0.447,0.441,15.4,14.4,24.2,20.3,0.207,0.163,False
2002,NJN,CHH,5,98.0,94.0,106.1,101.8,0.456,0.451,13.1,13.9,31.3,32.4,0.289,0.273,False
2002,LAL,SAS,5,90.0,85.8,103.7,98.8,0.472,0.427,12.0,12.3,28.6,25.9,0.186,0.27,True
2002,SAC,DAL,5,112.8,106.8,114.9,108.8,0.502,0.487,12.3,11.9,33.8,27.0,0.277,0.219,False
2003,DET,PHI,6,89.7,89.7,103.4,103.4,0.466,0.465,13.3,15.0,24.3,31.0,0.294,0.247,False
2003,NJN,BOS,4,101.3,91.3,103.9,93.6,0.488,0.455,14.9,16.8,23.2,20.8,0.283,0.231,False
2003,DAL,SAC,7,114.6,111.0,113.0,109.5,0.524,0.487,10.9,11.4,25.8,26.2,0.165,0.261,False
2003,SAS,LAL,6,99.5,93.7,109.7,103.2,0.508,0.482,11.4,14.8,25.0,26.5,0.245,0.235,True
2004,DET,NJN,7,86.7,83.3,95.6,91.8,0.424,0.425,14.9,17.5,28.9,26.8,0.254,0.287,True
2004,IND,MIA,6,87.8,84.7,102.8,99.1,0.475,0.436,14.7,13.2,25.6,25.5,0.314,0.27,False
2004,LAL,SAS,6,88.0,83.8,100.0,95.2,0.504,0.439,15.7,14.4,22.2,29.3,0.259,0.184,False
2004,MIN,SAC,7,91.9,93.0,98.9,100.2,0.468,0.445,15.1,12.1,25.1,22.1,0.224,0.244,False
2005,DET,IND,6,86.0,79.0,101.8,93.5,0.448,0.423,13.4,14.5,30.7,26.5,0.24,0.201,False
2005,MIA,WAS,4,103.5,94.5,111.3,101.6,0.56,0.44,16.6,11.9,28.4,27.8,0.252,0.263,False
2005,PHO,DAL,6,117.5,110.8,118.4,111.7,0.536,0.486,11.8,11.0,32.0,31.8,0.231,0.218,False
2005,SAS,SEA,6,98.7,91.8,113.2,105.3,0.507,0.473,14.5,13.6,31.1,31.2,0.344,0.258,True
2006,DET,CLE,7,86.6,80.9,105.5,98.5,0.471,0.442,13.1,14.2,29.0,29.8,0.255,0.225,False
2006,MIA,NJN,5,102.0,95.6,112.7,105.6,0.548,0.497,13.6,13.5,21.6,22.9,0.341,0.253,True
2006,DAL,SAS,7,103.9,99.9,113.8,109.5,0.494,0.504,11.6,13.1,28.7,20.8,0.33,0.352,False
2006,PHO,LAC,7,112.3,113.3,116.3,117.4,0.536,0.535,9.8,12.7,20.2,32.0,0.21,0.254,False
2007,CLE,NJN,6,85.8,84.2,98.1,96.2,0.448,0.471,13.4,16.6,27.7,19.8,0.235,0.238,False
2007,DET,CHI,6,93.0,87.5,105.8,99.6,0.471,0.443,13.3,15.3,31.7,30.2,0.226,0.304,False
2007,SAS,PHO,6,100.0,100.5,106.6,107.1,0.503,0.513,13.8,14.3,25.7,21.9,0.241,0.239,True
2007,UTA,GSW,5,112.6,108.4,112.9,108.6,0.525,0.506,19.2,13.0,41.7,22.8,0.331,0.282,False
2008,BOS,CLE,7,84.0,85.1,99.8,101.1,0.455,0.446,14.5,14.3,26.2,26.4,0.276,0.303,True
2008,DET,ORL,5,91.6,90.2,108.2,106.5,0.444,0.525,8.1,15.6,27.0,27.6,0.261,0.196,False
2008,LAL,UTA,6,110.3,107.3,116.5,113.3,0.536,0.479,13.7,11.8,22.3,35.9,0.406,0.261,False
2008,SAS,NOH,7,92.1,92.1,106.7,106.7,0.509,0.48,13.1,9.3,23.1,24.0,0.187,0.184,False
2009,CLE,ATL,4,96.3,78.3,117.6,95.6,0.536,0.426,14.3,12.6,39.3,24.7,0.26,0.206,False
2009,ORL,BOS,7,96.0,91.7,106.7,101.9,0.504,0.473,12.6,13.6,19.9,23.0,0.251,0.247,False
2009,LAL,HOU,7,97.9,90.6,108.4,100.3,0.49,0.469,11.4,15.4,28.5,25.3,0.216,0.221,True
2009,DEN,DAL,5,114.6,106.8,121.9,113.6,0.555,0.521,10.6,13.5,24.0,25.9,0.349,0.335,False
2010,BOS,CLE,6,100.5,95.2,108.4,102.7,0.503,0.48,12.3,15.5,23.7,21.5,0.266,0.367,False
2010,ORL,ATL,4,107.3,82.0,124.8,95.4,0.611,0.401,12.2,11.0,27.1,24.6,0.267,0.246,False
2010,LAL,UTA,4,109.3,102.0,120.3,112.3,0.529,0.482,11.3,10.4,33.5,30.6,0.282,0.239,True
2010,PHO,SAS,4,109.5,100.3,115.6,105.8,0.545,0.506,12.7,12.4,23.6,21.0,0.262,0.252,False
2011,CHI,ATL,6,92.7,85.7,108.6,100.4,0.489,0.462,12.1,12.2,30.0,22.3,0.197,0.215,False
2011,MIA,BOS,5,95.4,91.0,107.6,102.6,0.493,0.508,14.5,15.2,25.1,18.0,0.324,0.23,False
2011,DAL,LAL,4,102.3,88.3,116.0,100.1,0.575,0.446,14.3,11.6,21.1,28.9,0.213,0.175,True
2011,OKC,MEM,7,103.6,99.6,109.5,105.3,0.491,0.43,14.7,11.0,31.4,31.7,0.296,0.267,False
2012,MIA,IND,6,94.3,87.8,105.8,98.5,0.484,0.443,12.6,15.3,26.8,28.3,0.255,0.247,True
